stopWordsProportion,numWords,positiveWordProportion,negativeWordProportion,numNouns,numAdjectives,numVerbs,class
58,168,0,2,8,11,14,neg
52,215,2,6,7,10,22,neg
41,232,0,2,17,14,16,neg
61,201,2,4,4,8,13,neg
52,251,1,4,9,12,17,neg
55,351,2,2,3,18,28,neg
54,126,3,6,1,8,7,neg
45,437,1,5,40,26,31,neg
54,173,2,4,6,10,17,neg
44,213,0,2,14,10,20,neg
48,249,1,5,4,16,11,neg
48,993,2,3,65,53,83,neg
54,167,1,4,4,9,21,neg
51,247,0,1,0,14,19,neg
52,184,3,4,2,13,13,neg
56,138,2,4,1,13,10,neg
54,407,2,1,9,13,31,neg
56,113,0,2,1,3,9,neg
57,190,1,1,14,4,10,neg
56,122,0,4,0,6,4,neg
50,164,2,4,6,11,13,neg
42,123,4,4,11,7,8,neg
43,178,5,2,24,15,14,neg
55,170,1,4,6,11,9,neg
53,292,3,5,15,23,11,neg
50,190,3,4,9,14,10,neg
54,134,1,1,11,7,8,neg
47,361,0,4,41,27,22,neg
57,133,0,5,0,11,7,neg
49,217,2,7,11,23,10,neg
46,230,2,3,15,17,19,neg
48,556,3,4,18,41,43,neg
52,119,1,4,2,7,7,neg
59,290,1,3,19,16,19,neg
50,168,2,3,7,11,12,neg
49,770,3,5,52,50,55,neg
49,255,1,3,17,17,14,neg
59,224,0,0,3,4,13,neg
53,120,0,1,14,5,12,neg
52,267,3,1,6,17,23,neg
46,144,2,2,6,9,8,neg
51,131,0,3,6,7,9,neg
40,150,0,2,1,8,13,neg
52,428,1,3,13,29,29,neg
49,130,3,1,1,9,8,neg
48,275,0,4,13,16,18,neg
49,288,4,2,2,32,16,neg
51,115,0,5,0,6,12,neg
44,129,1,2,13,6,4,neg
44,114,2,6,6,15,7,neg
44,83,6,6,4,8,3,neg
42,100,2,4,8,7,11,neg
55,146,1,2,4,11,10,neg
56,125,2,5,1,6,8,neg
58,295,0,5,7,6,20,neg
47,136,2,4,8,6,13,neg
41,180,4,9,0,16,17,neg
53,217,4,3,8,13,11,neg
49,311,2,2,21,12,26,neg
45,385,1,2,70,15,32,neg
33,45,6,4,6,3,3,neg
44,228,3,4,23,18,11,neg
47,391,1,2,61,15,41,neg
52,217,0,4,17,11,16,neg
56,133,0,3,9,6,7,neg
53,148,0,3,7,5,10,neg
51,366,1,5,11,27,33,neg
61,112,2,4,1,4,11,neg
49,210,3,7,10,17,12,neg
52,142,3,3,5,12,10,neg
50,280,2,2,1,14,22,neg
51,612,2,3,30,32,45,neg
54,319,2,4,8,14,16,neg
50,188,2,3,14,15,10,neg
42,128,3,7,3,22,7,neg
55,397,1,7,3,31,31,neg
48,187,0,2,6,13,15,neg
45,119,3,1,3,8,7,neg
50,190,5,1,11,11,19,neg
50,129,1,3,1,9,5,neg
50,251,2,3,14,16,11,neg
51,152,1,3,6,10,12,neg
47,149,5,4,7,11,7,neg
47,148,2,4,0,12,13,neg
54,172,3,1,8,9,9,neg
47,258,5,2,7,26,16,neg
53,164,1,2,1,9,13,neg
53,158,1,2,6,9,6,neg
53,147,2,2,2,8,5,neg
48,304,4,4,3,27,16,neg
35,53,3,5,2,7,6,neg
30,149,2,1,47,9,12,neg
47,336,2,3,21,11,31,neg
55,165,1,4,8,8,7,neg
59,153,2,2,0,5,11,neg
36,36,5,0,0,4,4,neg
56,174,0,2,16,9,13,neg
48,544,1,5,34,32,31,neg
40,176,3,2,14,17,9,neg
47,682,2,4,77,46,47,neg
58,122,6,1,5,2,10,neg
53,314,0,2,29,13,25,neg
47,229,3,3,22,14,16,neg
52,63,3,4,0,4,7,neg
54,172,1,6,9,13,13,neg
51,235,1,2,6,8,14,neg
49,163,1,3,7,8,7,neg
48,498,2,4,38,31,39,neg
42,131,3,2,4,8,12,neg
46,166,1,3,20,10,13,neg
55,184,1,5,5,12,13,neg
50,126,3,5,4,8,8,neg
57,142,0,2,8,2,10,neg
50,154,1,2,4,6,10,neg
43,100,1,2,7,7,3,neg
42,161,1,4,7,12,11,neg
53,140,2,3,1,9,12,neg
51,268,3,4,7,18,20,neg
49,128,3,2,9,6,9,neg
51,123,4,4,3,5,10,neg
60,128,0,3,4,7,6,neg
53,133,1,1,6,8,7,neg
36,47,4,6,4,5,3,neg
58,112,2,2,2,10,6,neg
50,159,0,4,1,10,13,neg
53,165,1,4,1,9,8,neg
56,217,1,4,7,14,12,neg
50,176,0,2,9,6,11,neg
52,543,1,4,28,23,41,neg
50,251,1,3,9,18,12,neg
60,147,0,3,2,5,14,neg
53,178,3,6,13,13,14,neg
53,210,2,3,0,13,17,neg
54,219,2,2,7,12,14,neg
68,145,2,4,0,4,10,neg
61,134,1,4,5,6,4,neg
56,161,0,1,5,9,9,neg
45,584,1,4,16,36,38,neg
48,181,2,6,13,12,12,neg
56,113,1,7,5,4,7,neg
46,291,2,3,25,17,16,neg
54,135,0,4,4,11,10,neg
56,74,1,6,4,7,4,neg
53,43,2,4,1,1,3,neg
48,150,2,6,5,8,7,neg
45,226,3,2,8,16,15,neg
49,51,0,1,1,0,5,neg
51,248,1,1,5,10,18,neg
53,66,0,4,5,2,6,neg
45,77,2,5,0,6,5,neg
51,116,0,0,3,4,7,neg
40,148,4,2,14,11,7,neg
54,114,3,0,3,11,6,neg
50,302,1,4,2,23,17,neg
43,123,2,4,4,6,10,neg
50,159,0,6,3,15,8,neg
55,43,0,2,0,3,3,neg
43,147,1,2,1,12,11,neg
53,244,3,2,5,10,19,neg
52,492,2,3,42,38,33,neg
38,208,1,7,14,32,14,neg
50,319,1,5,4,33,19,neg
55,438,2,2,4,32,25,neg
48,150,1,6,0,12,7,neg
53,145,1,2,4,10,8,neg
43,304,2,3,25,20,15,neg
50,269,3,3,1,20,14,neg
46,203,2,3,9,17,12,neg
44,180,2,3,5,11,18,neg
45,592,2,2,32,35,38,neg
