stopWordsProportion,numWords,positiveWordProportion,negativeWordProportion,numNouns,numAdjectives,numVerbs,class
42,112,5,3,9,16,7,neg
60,115,0,6,4,8,8,neg
45,228,1,4,11,16,10,neg
41,186,1,3,22,5,18,neg
52,105,1,0,5,3,7,neg
41,325,1,3,12,27,28,neg
45,166,1,3,4,9,6,neg
44,151,1,1,2,9,12,neg
46,177,1,1,3,3,12,neg
41,158,0,1,9,7,10,neg
46,69,1,2,0,2,5,neg
53,132,1,7,2,5,13,neg
53,888,2,3,59,54,46,neg
56,78,5,3,9,5,7,neg
45,202,2,1,10,9,18,neg
45,360,2,1,54,15,22,neg
61,140,4,2,7,2,7,neg
43,128,1,3,19,7,10,neg
53,136,1,5,10,7,10,neg
46,262,4,3,18,17,20,neg
52,224,1,2,11,12,15,neg
48,480,2,5,31,29,25,neg
45,137,0,2,6,5,13,neg
48,301,0,3,45,15,19,neg
57,114,0,2,8,5,5,neg
53,123,10,4,2,14,6,neg
43,311,2,4,9,23,20,neg
50,118,0,5,3,7,7,neg
52,93,0,2,0,5,7,neg
48,214,2,5,7,26,7,neg
51,288,3,3,12,13,21,neg
46,147,4,3,1,18,9,neg
50,173,3,4,8,20,9,neg
52,331,1,2,6,19,21,neg
52,766,3,5,21,44,72,neg
53,159,3,3,11,9,8,neg
45,122,0,0,12,9,5,neg
63,156,2,2,2,9,4,neg
51,231,3,3,10,6,9,neg
59,836,2,3,32,54,45,neg
49,309,3,4,11,19,21,neg
52,389,2,4,8,29,26,neg
48,95,2,2,0,7,5,neg
40,92,6,2,1,3,5,neg
54,114,0,1,1,8,7,neg
40,88,1,1,5,6,1,neg
45,55,9,3,0,3,6,neg
60,150,2,2,2,6,8,neg
59,119,2,0,12,4,2,neg
56,248,1,4,1,9,13,neg
47,535,2,5,27,31,42,neg
44,54,5,5,2,7,5,neg
51,205,2,1,20,9,12,neg
52,395,2,3,12,15,22,neg
52,154,4,7,5,11,12,neg
47,170,1,1,8,7,11,neg
52,130,3,3,11,10,5,neg
48,177,2,1,2,11,15,neg
49,302,2,3,26,15,25,neg
42,999,2,5,49,103,85,neg
57,119,1,3,2,11,3,neg
48,127,3,0,7,10,7,neg
51,304,1,6,4,22,30,neg
54,137,1,2,3,7,12,neg
44,118,1,4,15,10,7,neg
44,153,5,5,18,7,17,neg
53,500,2,2,11,22,41,neg
48,134,2,2,20,5,7,neg
44,156,2,3,17,11,7,neg
47,133,2,3,0,11,10,neg
56,67,2,4,2,7,2,neg
46,115,0,1,6,7,7,neg
53,496,2,2,26,28,30,neg
50,215,1,2,14,8,19,neg
52,160,1,1,17,7,10,neg
46,266,1,3,10,22,21,neg
58,180,1,1,3,5,13,neg
49,398,1,2,8,28,25,neg
51,455,0,6,7,38,30,neg
40,76,0,2,7,2,6,neg
54,122,1,3,5,7,7,neg
53,83,3,3,3,6,6,neg
60,650,1,3,21,27,35,neg
57,158,0,2,5,7,10,neg
53,190,2,3,9,10,12,neg
58,128,0,7,0,5,11,neg
57,195,1,3,0,10,12,neg
61,136,0,4,3,11,5,neg
50,46,0,2,0,3,4,neg
47,374,2,4,24,28,31,neg
44,139,1,2,2,11,7,neg
58,121,3,0,0,8,6,neg
50,161,1,4,12,18,11,neg
37,132,2,4,22,6,11,neg
55,516,2,4,38,38,20,neg
46,906,2,4,65,53,64,neg
50,44,4,4,0,0,6,neg
47,84,3,5,2,2,10,neg
48,84,3,5,2,3,9,neg
53,159,0,2,8,13,8,neg
60,159,2,1,2,7,8,neg
48,167,0,4,8,7,13,neg
52,214,0,1,10,16,13,neg
47,127,0,3,16,8,10,neg
57,59,3,1,1,7,1,neg
34,72,4,1,29,8,1,neg
49,156,1,2,7,9,11,neg
55,87,4,4,7,6,4,neg
55,226,1,5,9,17,9,neg
51,127,0,7,4,13,5,neg
53,190,2,2,8,11,6,neg
46,125,0,3,9,10,7,neg
51,147,0,4,9,11,14,neg
60,126,2,1,8,10,2,neg
42,83,2,6,2,6,8,neg
53,913,2,5,28,74,72,neg
45,203,1,3,12,10,26,neg
50,331,3,4,2,27,22,neg
56,140,1,2,5,4,9,neg
52,96,4,6,5,6,6,neg
48,112,3,6,6,12,8,neg
42,116,0,4,6,12,10,neg
52,138,2,4,2,6,11,neg
53,264,3,3,12,12,10,neg
41,246,5,3,3,22,25,neg
47,185,3,7,13,14,11,neg
51,122,3,4,2,11,6,neg
52,174,1,4,3,14,11,neg
49,305,4,2,22,8,31,neg
49,305,4,2,22,8,31,neg
54,151,1,5,1,14,7,neg
54,379,2,3,11,26,26,neg
56,143,3,2,3,9,10,neg
56,246,2,2,11,15,15,neg
50,258,4,2,13,14,10,neg
46,193,3,4,4,14,15,neg
50,157,0,3,4,11,7,neg
36,69,4,2,11,8,4,neg
49,151,2,5,9,12,10,neg
52,156,1,2,7,3,16,neg
42,169,2,4,3,19,9,neg
54,168,0,3,3,8,14,neg
45,252,4,2,3,20,12,neg
55,174,2,2,6,6,14,neg
54,276,1,3,12,13,22,neg
47,191,2,4,12,14,14,neg
45,146,4,2,2,13,13,neg
58,141,2,3,7,6,9,neg
50,166,3,2,10,7,11,neg
51,388,2,4,6,24,38,neg
53,138,2,3,1,10,6,neg
45,426,2,4,19,39,35,neg
39,108,0,3,5,5,6,neg
45,120,5,3,4,6,8,neg
48,179,3,3,10,9,12,neg
51,174,1,4,6,8,13,neg
40,153,1,6,9,14,8,neg
49,594,2,2,64,37,42,neg
38,217,2,5,34,16,12,neg
50,146,1,2,8,6,11,neg
38,49,4,8,6,5,3,neg
51,182,4,2,0,14,9,neg
48,231,2,3,17,12,19,neg
43,261,0,4,10,15,20,neg
52,72,2,1,2,3,8,neg
47,149,0,6,11,10,12,neg
50,233,2,3,4,10,19,neg
60,113,3,2,7,9,6,neg
50,224,2,1,17,12,16,neg
54,122,1,3,11,6,10,neg
57,306,0,3,25,10,13,neg
52,305,2,3,21,19,27,neg
54,863,1,3,36,42,66,neg
56,167,2,4,14,10,9,neg
46,220,1,4,5,12,13,neg
48,147,2,4,4,9,11,neg
41,36,2,13,1,6,3,neg
52,255,2,6,6,14,11,neg
55,79,1,1,0,4,2,neg
54,68,1,7,2,5,3,neg
37,120,2,6,16,6,14,neg
60,118,0,2,5,2,11,neg
51,563,2,3,30,35,40,neg
49,458,2,5,9,25,35,neg
36,11,0,0,2,0,2,neg
