stopWordsProportion,numWords,positiveWordProportion,negativeWordProportion,numNouns,numAdjectives,numVerbs,class
42,112,21,8,28,16,7,neg
60,115,0,25,19,8,8,neg
45,228,11,30,57,16,10,neg
41,186,8,13,50,5,18,neg
52,105,10,0,25,3,7,neg
41,325,9,12,87,27,28,neg
45,166,13,20,37,9,6,neg
44,151,9,4,36,9,12,neg
46,177,20,13,31,3,12,neg
41,158,0,17,38,7,10,neg
46,69,14,28,15,2,5,neg
53,132,11,33,31,5,13,neg
53,888,13,20,222,54,46,neg
56,78,25,16,17,5,7,neg
45,202,7,14,53,9,18,neg
45,360,18,10,113,15,22,neg
61,140,33,11,34,2,7,neg
43,128,11,23,43,7,10,neg
53,136,11,35,34,7,10,neg
46,262,21,13,61,17,20,neg
52,224,11,14,45,12,15,neg
48,480,11,18,119,29,25,neg
45,137,0,16,26,5,13,neg
48,301,2,26,88,15,19,neg
57,114,10,20,24,5,5,neg
53,123,50,15,28,14,6,neg
43,311,11,16,74,23,20,neg
50,118,0,28,24,7,7,neg
52,93,0,8,21,5,7,neg
48,214,9,18,49,26,7,neg
51,288,11,14,78,13,21,neg
46,147,14,7,36,18,9,neg
50,173,17,13,38,20,9,neg
52,331,10,17,60,19,21,neg
52,766,10,25,158,44,72,neg
53,159,17,17,35,9,8,neg
45,122,0,0,32,9,5,neg
63,156,23,23,27,9,4,neg
51,231,13,26,54,6,9,neg
59,836,14,17,160,54,45,neg
49,309,22,12,69,19,21,neg
52,389,9,21,81,29,26,neg
48,95,8,16,18,7,5,neg
40,92,25,12,19,3,5,neg
54,114,0,6,25,8,7,neg
40,88,14,0,15,6,1,neg
45,55,33,22,11,3,6,neg
60,150,28,14,26,6,8,neg
59,119,50,0,31,4,2,neg
56,248,9,22,43,9,13,neg
47,535,9,19,129,31,42,neg
44,54,0,25,11,7,5,neg
51,205,19,14,48,9,12,neg
52,395,10,18,85,15,22,neg
52,154,30,21,39,11,12,neg
47,170,11,5,45,7,11,neg
52,130,13,33,37,10,5,neg
48,177,11,3,40,11,15,neg
49,302,10,27,76,15,25,neg
42,999,10,19,257,103,85,neg
57,119,14,14,32,11,3,neg
48,127,23,0,32,10,7,neg
51,304,5,25,62,22,30,neg
54,137,10,15,30,7,12,neg
44,118,11,23,36,10,7,neg
44,153,25,20,44,7,17,neg
53,500,11,15,92,22,41,neg
48,134,16,16,36,5,7,neg
44,156,16,16,50,11,7,neg
47,133,9,14,30,11,10,neg
56,67,22,33,15,7,2,neg
46,115,7,0,24,7,7,neg
53,496,13,13,108,28,30,neg
50,215,11,7,46,8,19,neg
52,160,17,5,41,7,10,neg
46,266,11,11,49,22,21,neg
58,180,11,11,34,5,13,neg
49,398,9,11,89,28,25,neg
51,455,4,25,95,38,30,neg
40,76,0,12,15,2,6,neg
54,122,14,21,25,7,7,neg
53,83,16,16,23,6,6,neg
60,650,12,14,120,27,35,neg
57,158,0,23,29,7,10,neg
53,190,22,22,39,10,12,neg
58,128,6,18,20,5,11,neg
57,195,9,22,29,10,12,neg
61,136,6,37,21,11,5,neg
50,46,0,0,9,3,4,neg
47,374,6,18,108,28,31,neg
44,139,5,11,34,11,7,neg
58,121,28,0,23,8,6,neg
50,161,6,24,36,18,11,neg
37,132,17,17,42,6,11,neg
55,516,24,15,94,38,20,neg
46,906,13,18,235,53,64,neg
50,44,33,16,5,0,6,neg
47,84,25,16,24,2,10,neg
48,84,25,16,23,3,9,neg
53,159,4,19,35,13,8,neg
60,159,26,20,24,7,8,neg
48,167,0,25,37,7,13,neg
52,214,3,13,48,16,13,neg
47,127,0,16,39,8,10,neg
57,59,12,12,13,7,1,neg
34,72,22,0,36,8,1,neg
49,156,5,15,40,9,11,neg
55,87,40,30,24,6,4,neg
55,226,11,26,53,17,9,neg
51,127,5,33,28,13,5,neg
53,190,11,11,43,11,6,neg
46,125,0,17,31,10,7,neg
51,147,4,16,32,11,14,neg
60,126,8,16,36,10,2,neg
42,83,0,14,15,6,8,neg
53,913,8,20,157,74,72,neg
45,203,8,16,47,10,26,neg
50,331,16,24,63,27,22,neg
56,140,0,23,33,4,9,neg
52,96,25,25,22,6,6,neg
48,112,10,30,33,12,8,neg
42,116,4,13,35,12,10,neg
52,138,11,29,26,6,11,neg
53,264,31,13,68,12,10,neg
41,246,21,14,50,22,25,neg
47,185,16,36,51,14,11,neg
51,122,5,11,27,11,6,neg
52,174,12,24,39,14,11,neg
49,305,23,15,85,8,31,neg
49,305,23,15,85,8,31,neg
54,151,14,9,30,14,7,neg
54,379,15,11,79,26,26,neg
56,143,21,5,28,9,10,neg
56,246,20,10,57,15,15,neg
50,258,33,4,62,14,10,neg
46,193,13,10,35,14,15,neg
50,157,5,22,32,11,7,neg
36,69,16,16,25,8,4,neg
49,151,18,27,27,12,10,neg
52,156,10,15,34,3,16,neg
42,169,7,21,34,19,9,neg
54,168,0,22,27,8,14,neg
45,252,25,12,59,20,12,neg
55,174,10,15,34,6,14,neg
54,276,5,17,56,13,22,neg
47,191,7,21,51,14,14,neg
45,146,15,11,34,13,13,neg
58,141,13,33,28,6,9,neg
50,166,16,16,45,7,11,neg
51,388,8,14,74,24,38,neg
53,138,6,12,33,10,6,neg
45,426,9,14,94,39,35,neg
39,108,9,27,20,5,6,neg
45,120,35,7,28,6,8,neg
48,179,14,28,40,9,12,neg
51,174,9,19,34,8,13,neg
40,153,4,36,38,14,8,neg
49,594,8,11,158,37,42,neg
38,217,10,28,75,16,12,neg
50,146,11,17,29,6,11,neg
38,49,12,25,14,5,3,neg
51,182,21,8,38,14,9,neg
48,231,16,19,61,12,19,neg
43,261,2,8,53,15,20,neg
52,72,18,9,14,3,8,neg
47,149,0,36,36,10,12,neg
50,233,13,20,57,10,19,neg
60,113,20,13,25,9,6,neg
50,224,10,7,53,12,16,neg
54,122,6,6,30,6,10,neg
57,306,4,30,77,10,13,neg
52,305,13,13,58,19,27,neg
54,863,9,15,182,42,66,neg
56,167,5,36,36,10,9,neg
46,220,12,20,35,12,13,neg
48,147,15,25,32,9,11,neg
41,36,11,55,5,6,3,neg
52,255,12,36,55,14,11,neg
55,79,0,16,13,4,2,neg
54,68,12,37,16,5,3,neg
37,120,15,30,41,6,14,neg
60,118,0,7,27,2,11,neg
51,563,14,18,142,35,40,neg
49,458,13,21,113,25,35,neg
36,11,0,0,2,0,2,neg
49,148,8,4,36,10,13,neg
50,294,2,17,65,23,23,neg
55,534,12,17,107,31,25,neg
48,156,5,11,35,8,9,neg
52,110,33,22,25,6,3,neg
50,273,15,7,56,23,15,neg
46,251,19,24,62,30,11,neg
50,227,13,19,61,24,12,neg
55,261,11,33,64,18,18,neg
50,291,10,14,52,22,26,neg
46,77,15,15,12,11,2,neg
48,314,6,18,82,23,26,neg
29,124,7,19,28,13,13,neg
50,183,3,21,38,14,14,neg
45,155,7,22,34,10,17,neg
52,185,8,8,36,10,15,neg
40,131,17,17,30,10,7,neg
52,149,10,21,32,9,10,neg
53,138,11,23,38,11,6,neg
