stopWordsProportion,numWords,positiveWordProportion,negativeWordProportion,numNouns,numAdjectives,numVerbs,class
57,152,11,11,34,7,10,pos
52,179,25,20,39,11,13,pos
61,185,13,13,27,13,9,pos
57,197,10,41,38,16,13,pos
44,104,25,10,23,13,7,pos
38,63,25,0,19,3,1,pos
61,156,0,21,29,9,10,pos
45,275,17,17,66,29,22,pos
50,257,9,9,58,21,11,pos
56,452,12,24,93,26,32,pos
53,43,40,40,13,3,2,pos
46,140,6,20,32,3,12,pos
51,147,11,22,42,10,8,pos
60,60,20,10,10,5,5,pos
46,594,13,13,153,50,38,pos
47,114,17,11,38,11,6,pos
52,106,16,8,21,5,7,pos
55,247,2,22,51,10,26,pos
60,172,13,6,40,4,11,pos
59,42,0,25,8,2,2,pos
50,150,4,31,37,11,11,pos
50,498,7,29,103,43,38,pos
50,587,17,18,116,34,46,pos
51,208,3,16,41,15,15,pos
53,953,15,17,179,86,59,pos
54,359,13,13,78,20,18,pos
40,49,10,40,9,6,4,pos
58,480,15,25,103,25,27,pos
47,398,5,12,111,35,23,pos
53,366,9,23,77,28,24,pos
50,143,16,33,22,9,3,pos
44,148,4,4,36,12,11,pos
49,161,18,13,42,4,18,pos
42,229,21,7,70,11,17,pos
53,115,7,14,34,7,7,pos
44,132,8,20,30,14,10,pos
57,91,15,15,19,8,5,pos
49,307,11,20,74,15,19,pos
53,937,13,18,196,48,73,pos
49,424,21,8,97,31,25,pos
48,213,3,17,46,9,19,pos
43,202,2,13,54,15,22,pos
51,139,25,25,32,11,9,pos
54,111,0,33,28,4,8,pos
53,152,42,21,36,9,5,pos
52,412,10,19,96,30,38,pos
49,290,15,12,60,16,23,pos
58,317,6,23,64,14,16,pos
48,610,8,16,138,40,56,pos
45,122,0,11,32,12,6,pos
52,428,13,16,93,31,29,pos
46,352,13,14,88,25,36,pos
53,195,4,18,38,14,8,pos
47,211,20,16,49,19,11,pos
50,460,19,12,92,31,32,pos
41,212,9,28,74,18,14,pos
52,727,18,19,176,53,30,pos
48,217,10,18,48,20,17,pos
47,152,31,4,37,12,10,pos
58,441,5,25,85,17,35,pos
53,145,13,26,28,13,10,pos
50,796,6,13,197,37,75,pos
51,257,13,8,54,19,17,pos
54,183,34,21,37,15,8,pos
50,197,16,8,41,9,16,pos
45,193,9,12,45,22,9,pos
48,269,7,14,57,7,21,pos
45,280,11,15,65,32,20,pos
49,338,20,8,71,28,20,pos
40,105,11,16,30,11,7,pos
40,60,0,0,13,2,3,pos
33,162,21,15,45,10,9,pos
41,330,11,14,113,21,21,pos
49,228,4,17,53,14,9,pos
45,132,15,21,35,10,9,pos
32,440,14,30,128,70,14,pos
53,125,8,33,31,6,6,pos
46,206,11,20,43,17,18,pos
48,731,20,20,156,57,48,pos
35,185,26,13,56,18,12,pos
39,88,10,10,27,6,4,pos
52,201,7,34,47,11,15,pos
49,373,19,12,81,31,25,pos
50,121,0,11,26,4,5,pos
55,134,5,11,29,11,7,pos
47,720,12,19,181,48,49,pos
52,68,33,16,13,5,1,pos
47,100,20,0,31,3,7,pos
30,10,0,0,5,2,0,pos
48,97,42,14,19,9,5,pos
46,280,12,15,81,10,30,pos
47,123,25,18,31,8,8,pos
49,193,15,28,44,19,13,pos
52,219,9,12,49,9,23,pos
50,207,3,14,50,4,24,pos
44,248,9,18,63,17,16,pos
48,267,13,8,64,15,21,pos
51,168,14,0,37,16,12,pos
56,138,7,21,25,6,8,pos
52,133,6,18,25,6,10,pos
50,127,0,15,36,6,13,pos
53,963,11,13,224,51,87,pos
47,212,8,17,62,7,16,pos
50,416,7,7,104,17,38,pos
44,941,13,17,239,87,65,pos
51,387,8,10,94,14,35,pos
46,569,10,12,157,59,36,pos
41,248,5,11,67,19,17,pos
49,327,11,21,72,22,29,pos
62,85,0,12,11,3,5,pos
47,108,55,0,30,7,2,pos
58,139,17,11,19,8,9,pos
44,531,12,14,125,50,40,pos
48,152,27,27,43,12,6,pos
47,206,16,12,62,13,12,pos
52,406,13,13,92,21,30,pos
55,85,15,0,19,7,6,pos
56,230,16,16,38,14,17,pos
45,147,13,18,32,16,6,pos
51,116,14,21,27,10,4,pos
48,177,19,23,34,13,8,pos
42,627,12,8,187,42,57,pos
54,196,15,21,41,13,6,pos
54,289,5,14,65,15,19,pos
42,292,11,16,82,18,18,pos
57,340,15,18,73,13,19,pos
41,176,13,17,56,12,17,pos
48,242,0,26,70,10,16,pos
45,273,9,15,72,16,17,pos
46,169,4,22,44,9,13,pos
47,143,50,0,36,7,3,pos
38,321,12,17,98,24,16,pos
46,521,12,19,150,36,26,pos
45,187,7,25,47,16,11,pos
43,198,0,11,64,6,12,pos
53,152,0,38,33,12,9,pos
49,666,12,12,148,39,49,pos
43,166,15,15,51,10,9,pos
57,150,7,28,21,5,9,pos
51,131,0,33,37,4,8,pos
54,488,14,5,98,24,30,pos
47,38,33,0,10,2,1,pos
60,121,23,4,19,10,11,pos
59,166,6,13,32,2,13,pos
58,410,7,13,96,18,20,pos
46,189,24,20,47,18,11,pos
53,97,9,18,30,6,5,pos
51,122,15,7,34,5,8,pos
41,199,3,3,59,18,10,pos
40,296,35,7,98,28,12,pos
57,129,23,23,27,5,8,pos
49,340,10,25,95,12,16,pos
53,174,33,20,56,9,6,pos
40,153,18,18,56,7,9,pos
45,96,6,20,29,8,7,pos
33,104,9,27,28,6,5,pos
48,286,19,15,98,10,16,pos
44,201,17,3,57,16,12,pos
50,166,14,14,48,6,15,pos
53,481,18,6,119,26,23,pos
48,430,18,9,117,44,21,pos
48,411,19,15,118,28,29,pos
44,575,12,21,174,35,38,pos
46,369,17,17,88,29,12,pos
42,208,23,9,79,10,11,pos
47,659,10,6,195,35,42,pos
45,573,17,20,146,40,52,pos
45,118,27,0,34,7,4,pos
52,136,33,8,36,7,5,pos
47,488,10,10,167,24,24,pos
46,62,11,11,11,4,5,pos
55,60,20,0,12,5,5,pos
46,81,10,10,25,5,5,pos
