stopWordsProportion,numWords,positiveWordProportion,negativeWordProportion,numNouns,numAdjectives,numVerbs,class
51,140,15,23,33,4,9,pos
37,337,7,5,107,31,21,pos
51,123,4,9,25,10,12,pos
53,292,3,6,61,13,18,pos
36,90,15,10,23,10,9,pos
57,157,17,17,34,11,6,pos
53,368,14,21,82,17,25,pos
51,184,16,8,49,5,19,pos
58,119,20,30,26,9,1,pos
43,78,25,0,22,2,2,pos
52,63,22,11,17,5,4,pos
41,72,12,25,12,7,1,pos
41,43,42,0,11,4,3,pos
50,36,33,0,11,2,1,pos
47,105,9,45,34,8,3,pos
53,116,12,25,20,8,8,pos
66,57,40,20,9,2,3,pos
37,129,21,21,43,11,3,pos
46,230,6,19,58,20,11,pos
44,341,18,8,97,20,30,pos
47,598,12,12,158,48,47,pos
52,166,20,0,36,9,6,pos
43,41,12,12,12,6,2,pos
48,325,10,12,77,29,26,pos
55,221,17,20,53,12,17,pos
56,206,12,3,38,10,21,pos
51,585,10,20,160,32,38,pos
54,471,9,14,100,29,33,pos
46,387,8,11,107,21,38,pos
53,115,5,16,27,11,7,pos
51,121,16,16,30,11,7,pos
50,260,8,8,66,19,18,pos
51,147,10,30,32,8,12,pos
45,40,12,12,11,6,2,pos
41,285,8,10,87,26,30,pos
54,543,18,15,102,25,34,pos
39,764,10,13,231,65,55,pos
47,458,8,14,122,37,33,pos
54,263,15,15,64,16,17,pos
67,135,28,0,29,3,4,pos
44,120,11,11,42,3,6,pos
52,191,27,27,32,10,8,pos
48,143,15,5,37,13,7,pos
48,296,19,19,59,17,14,pos
40,201,4,42,60,13,8,pos
54,82,15,7,12,7,6,pos
43,44,10,20,12,5,5,pos
38,138,0,13,46,6,9,pos
57,471,22,13,88,37,22,pos
56,887,9,23,154,54,61,pos
43,116,8,8,22,4,8,pos
54,148,20,13,23,5,10,pos
51,186,11,23,35,16,10,pos
52,109,10,26,19,14,5,pos
57,528,3,20,122,20,39,pos
46,108,42,5,26,13,6,pos
41,236,14,22,65,28,22,pos
38,112,12,32,32,7,18,pos
50,219,14,25,40,12,16,pos
51,200,19,11,43,14,12,pos
51,300,20,15,83,18,21,pos
44,492,20,14,156,36,34,pos
57,466,10,19,85,28,19,pos
55,466,10,10,100,24,25,pos
53,217,18,14,44,14,13,pos
56,427,9,25,90,21,30,pos
55,226,15,11,54,7,19,pos
46,41,14,28,7,5,2,pos
41,67,25,8,23,9,3,pos
54,101,0,20,20,3,2,pos
45,70,16,33,22,6,6,pos
48,82,20,0,18,2,3,pos
55,29,33,0,4,4,2,pos
54,138,33,20,33,7,8,pos
44,188,23,7,51,12,14,pos
45,204,12,12,63,18,13,pos
46,510,10,21,142,23,42,pos
44,123,18,0,26,13,9,pos
46,220,15,27,59,20,13,pos
42,270,12,24,78,21,12,pos
49,79,20,20,23,6,4,pos
55,155,33,25,38,8,4,pos
48,206,9,12,45,15,16,pos
42,115,6,12,35,7,9,pos
43,149,5,0,47,10,7,pos
55,273,11,14,44,14,13,pos
40,89,16,16,25,8,4,pos
49,556,15,14,136,44,40,pos
46,891,5,20,214,65,75,pos
51,177,7,23,37,14,12,pos
45,258,7,22,75,11,16,pos
42,177,12,22,50,17,14,pos
31,107,0,15,35,9,10,pos
37,270,18,9,96,16,16,pos
54,144,0,11,32,8,10,pos
50,186,6,33,51,7,8,pos
38,214,9,12,68,19,12,pos
42,179,10,34,53,21,8,pos
49,411,11,11,112,31,30,pos
46,124,18,18,24,8,14,pos
49,630,16,24,150,28,47,pos
51,510,24,24,146,28,22,pos
53,160,20,12,29,15,9,pos
40,753,12,13,250,41,69,pos
48,50,0,33,18,2,1,pos
44,261,13,20,78,18,11,pos
50,124,15,20,33,12,8,pos
42,747,17,16,224,54,70,pos
50,148,11,17,31,9,8,pos
47,123,6,20,30,8,7,pos
54,195,19,26,44,14,12,pos
41,113,27,36,47,8,3,pos
33,262,16,16,112,24,12,pos
36,119,22,33,43,14,4,pos
46,328,4,18,77,15,28,pos
52,288,13,32,82,25,18,pos
49,186,13,13,36,11,18,pos
50,570,14,16,136,44,27,pos
54,144,27,9,36,5,6,pos
41,218,4,24,82,8,17,pos
49,132,6,25,32,9,7,pos
47,131,11,17,43,14,3,pos
54,146,26,10,33,8,11,pos
41,146,17,29,36,7,10,pos
55,56,14,28,13,5,2,pos
44,604,10,22,159,34,49,pos
48,282,12,28,64,14,18,pos
52,241,23,20,51,17,17,pos
44,95,7,0,26,5,8,pos
40,111,21,35,32,9,5,pos
46,238,2,31,70,17,18,pos
47,338,3,18,98,12,20,pos
51,185,4,8,50,10,15,pos
40,228,18,9,61,26,18,pos
49,680,9,13,185,34,52,pos
47,146,9,9,40,4,7,pos
42,290,9,25,76,24,8,pos
36,120,0,21,54,8,6,pos
50,292,14,3,80,8,19,pos
47,1000,22,15,306,61,66,pos
49,53,0,0,11,4,4,pos
43,91,11,0,28,6,3,pos
46,287,18,7,75,23,15,pos
51,123,12,18,32,8,8,pos
47,127,19,19,26,12,9,pos
53,190,25,18,58,10,6,pos
56,46,12,12,8,4,4,pos
46,130,10,26,36,10,9,pos
50,144,5,16,34,6,12,pos
45,132,16,11,25,9,9,pos
45,40,33,0,7,4,2,pos
48,206,9,22,51,7,15,pos
50,50,30,0,8,5,5,pos
51,347,0,13,87,16,14,pos
52,155,7,14,34,5,9,pos
51,169,4,9,44,9,13,pos
42,162,12,20,55,12,13,pos
53,113,18,27,33,6,5,pos
58,131,20,20,27,7,8,pos
44,105,18,27,37,8,3,pos
47,100,17,11,23,8,9,pos
52,185,22,13,35,10,12,pos
48,182,21,26,33,11,12,pos
56,144,5,26,30,6,13,pos
43,186,14,3,43,11,16,pos
58,101,0,0,20,3,5,pos
43,58,30,10,15,8,2,pos
40,120,7,7,42,6,7,pos
56,287,4,4,81,2,20,pos
53,165,5,16,41,7,11,pos
51,757,11,11,194,43,47,pos
56,409,8,25,85,12,24,pos
56,413,7,16,77,22,32,pos
55,525,14,24,111,31,31,pos
51,621,15,14,172,31,45,pos
48,408,2,7,121,10,30,pos
46,71,18,9,10,8,3,pos
55,170,9,14,32,9,12,pos
39,123,6,13,26,11,4,pos
53,65,0,14,11,3,4,pos
47,766,11,11,148,60,44,pos
53,201,22,22,48,18,9,pos
50,251,22,8,71,20,15,pos
45,365,12,33,102,21,18,pos
53,169,15,10,33,8,11,pos
47,161,17,17,45,10,7,pos
47,136,28,4,28,8,13,pos
55,118,18,9,24,4,7,pos
47,229,15,11,58,11,15,pos
52,144,0,18,34,7,9,pos
55,124,8,16,34,5,7,pos
52,153,13,8,39,7,16,pos
59,162,0,7,29,8,5,pos
50,201,24,32,40,14,11,pos
49,163,22,9,44,6,16,pos
56,130,9,28,27,12,9,pos
56,427,6,20,96,23,35,pos
52,138,17,17,36,9,8,pos
64,154,23,23,24,8,13,pos
45,331,20,11,80,29,16,pos
56,356,15,13,92,22,23,pos
53,71,33,0,18,4,2,pos
46,138,15,20,32,9,11,pos
46,313,11,13,65,17,19,pos
47,165,14,21,50,6,8,pos
64,121,10,0,21,2,8,pos
57,152,13,6,33,4,11,pos
53,160,21,10,28,3,16,pos
54,139,42,5,26,10,9,pos
46,157,6,6,46,4,11,pos
45,346,20,10,88,42,22,pos
52,137,27,11,35,10,8,pos
46,137,23,23,42,10,11,pos
55,124,7,30,26,6,7,pos
58,105,22,22,16,8,10,pos
42,223,11,0,81,16,10,pos
47,131,20,20,34,11,4,pos
50,234,13,18,61,12,10,pos
50,66,20,20,14,6,4,pos
61,78,0,33,17,3,6,pos
42,114,20,26,32,4,11,pos
42,671,19,16,173,81,30,pos
41,114,4,18,31,11,11,pos
50,318,20,17,86,19,20,pos
42,148,19,19,52,13,8,pos
52,75,15,23,16,8,5,pos
45,200,8,4,56,15,10,pos
48,186,19,9,40,8,13,pos
44,127,7,7,42,8,6,pos
49,91,36,9,15,6,5,pos
51,198,8,8,49,5,18,pos
54,413,12,10,89,21,19,pos
42,63,23,15,12,6,7,pos
54,131,7,14,27,3,11,pos
48,743,13,10,192,57,46,pos
52,481,13,18,115,27,31,pos
45,323,9,16,81,19,34,pos
50,165,13,9,39,7,15,pos
59,154,28,9,24,6,15,pos
54,125,5,23,20,6,11,pos
49,169,7,26,47,12,14,pos
51,154,5,15,35,6,13,pos
45,119,28,0,29,9,12,pos
52,34,0,33,11,2,1,pos
41,404,9,32,122,26,35,pos
51,891,18,18,197,70,45,pos
50,467,20,10,96,19,30,pos
50,110,14,0,21,6,8,pos
56,106,6,20,28,7,8,pos
53,233,8,16,47,13,12,pos
48,96,15,0,24,6,7,pos
46,275,0,19,74,16,15,pos
36,302,4,19,61,26,15,pos
47,202,2,16,44,12,24,pos
54,155,25,25,32,16,8,pos
51,426,15,7,109,29,24,pos
45,139,21,7,39,8,6,pos
51,129,0,6,38,5,10,pos
53,100,6,26,28,6,9,pos
49,150,13,13,32,12,11,pos
51,114,0,9,32,6,5,pos
55,190,13,13,32,16,7,pos
50,585,17,10,140,44,25,pos
49,416,10,13,110,26,40,pos
50,107,23,15,31,7,6,pos
52,159,23,0,37,8,13,pos
43,182,4,20,53,13,12,pos
38,57,27,9,15,6,5,pos
62,72,25,25,14,5,3,pos
57,57,0,33,9,4,2,pos
41,423,13,9,111,26,25,pos
42,101,6,6,31,5,10,pos
55,109,18,54,26,8,3,pos
42,171,15,7,32,15,11,pos
46,115,25,18,27,11,5,pos
49,234,27,4,61,12,10,pos
45,242,9,18,50,18,14,pos
49,287,12,15,70,23,16,pos
55,170,30,15,31,12,14,pos
42,128,0,25,26,9,11,pos
53,161,20,20,36,8,7,pos
50,410,7,9,94,40,25,pos
47,721,14,18,166,53,50,pos
38,136,11,23,48,11,6,pos
50,116,23,5,29,10,7,pos
47,127,31,18,39,10,6,pos
54,129,8,16,37,3,9,pos
51,169,11,42,30,9,17,pos
45,129,21,15,33,12,7,pos
53,261,19,11,56,12,14,pos
54,201,5,31,38,11,8,pos
44,256,19,29,79,23,8,pos
47,105,8,16,26,6,6,pos
48,315,18,15,75,23,30,pos
52,55,0,25,10,6,2,pos
51,70,9,18,17,6,5,pos
47,63,0,0,12,3,4,pos
50,67,12,0,20,5,3,pos
57,80,33,11,20,2,7,pos
51,41,66,0,12,5,1,pos
44,117,13,13,39,9,6,pos
60,198,0,5,37,5,12,pos
44,391,8,16,118,23,27,pos
52,127,14,0,19,3,11,pos
48,78,0,0,20,0,5,pos
57,70,37,0,12,5,3,pos
55,176,20,10,31,10,10,pos
