@relation whatever

@attribute stopWordsProportion numeric
@attribute numWords numeric
@attribute positiveWordProportion numeric
@attribute negativeWordProportion numeric
@attribute numNouns numeric
@attribute numAdjectives numeric
@attribute numVerbs numeric
@attribute class { pos , neg } 


@data
51 , 140 , 2 , 3 , 7 , 4 , 9 , pos 
37 , 337 , 1 , 2 , 22 , 31 , 21 , pos 
51 , 123 , 0 , 3 , 2 , 10 , 12 , pos 
53 , 292 , 0 , 1 , 8 , 13 , 18 , pos 
36 , 90 , 3 , 5 , 5 , 10 , 9 , pos 
57 , 157 , 1 , 3 , 4 , 11 , 6 , pos 
53 , 368 , 2 , 2 , 16 , 17 , 25 , pos 
51 , 184 , 2 , 1 , 6 , 5 , 19 , pos 
58 , 119 , 1 , 3 , 9 , 9 , 1 , pos 
43 , 78 , 1 , 3 , 7 , 2 , 2 , pos 
52 , 63 , 4 , 1 , 4 , 5 , 4 , pos 
41 , 72 , 4 , 5 , 3 , 7 , 1 , pos 
41 , 43 , 6 , 2 , 1 , 4 , 3 , pos 
50 , 36 , 5 , 0 , 5 , 2 , 1 , pos 
47 , 105 , 2 , 6 , 10 , 8 , 3 , pos 
53 , 116 , 1 , 6 , 2 , 8 , 8 , pos 
66 , 57 , 3 , 3 , 2 , 2 , 3 , pos 
37 , 129 , 3 , 3 , 10 , 11 , 3 , pos 
46 , 230 , 2 , 6 , 7 , 20 , 11 , pos 
44 , 341 , 4 , 2 , 36 , 20 , 30 , pos 
47 , 598 , 3 , 3 , 44 , 48 , 47 , pos 
52 , 166 , 2 , 0 , 3 , 9 , 6 , pos 
43 , 41 , 4 , 4 , 3 , 6 , 2 , pos 
48 , 325 , 2 , 4 , 14 , 29 , 26 , pos 
55 , 221 , 2 , 3 , 7 , 12 , 17 , pos 
56 , 206 , 2 , 2 , 8 , 10 , 21 , pos 
51 , 585 , 1 , 4 , 56 , 32 , 38 , pos 
54 , 471 , 2 , 3 , 16 , 29 , 33 , pos 
46 , 387 , 2 , 3 , 19 , 21 , 38 , pos 
